Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
Port of Soyo,"6° 7' 17"" S","12° 19' 21"" E",Harbor,Small,AOSZA,http://www.worldportsource.com/ports/AGO_Port_of_Soyo_1317.php
Port of Vlore,"40° 28' 7"" N","19° 27' 36"" E",Seaport,Small,ALVOA,http://www.worldportsource.com/ports/ALB_Port_of_Vlore_2184.php
"Palanca Terminal	","6° 58' 0"" S","12° 24' 0"" E",Off-Shore Terminal,Very Small,AOPAT,http://www.worldportsource.com/ports/AGO_Palanca_Terminal__4373.php
Port of Shengjin,"41° 48' 34"" N","19° 35' 18"" E",Harbor,Small,ALSHG,http://www.worldportsource.com/ports/ALB_Port_of_Shengjin_2183.php
Port of Sarande,"39° 52' 19"" N","20° 0' 20"" E","Pier, Jetty or Wharf",Small,ALSAR,http://www.worldportsource.com/ports/ALB_Port_of_Sarande_2182.php
Port of Turbo,"8° 5' 16"" N","76° 44' 3"" W",Seaport,Small,COTRB,http://www.worldportsource.com/ports/COL_Port_of_Turbo_1670.php
Port of Jijel,"36° 49' 22"" N","5° 46' 27"" E",Harbor,Small,DZDJI,http://www.worldportsource.com/ports/DZA_Port_of_Jijel_3656.php
Port of Pago-Pago *,"14° 16' 27"" S","170° 41' 26"" W",Seaport,Medium,ASPPG,http://www.worldportsource.com/ports/ASM_Port_of_Pago_Pago_2285.php
Port of Tenes,"36° 31' 26"" N","1° 19' 8"" E",Harbor,Small,DZTEN,http://www.worldportsource.com/ports/DZA_Port_of_Tenes_3658.php
Port of Zhuzhou,"27° 49' 27"" N","113° 8' 4"" E",River Port,Small,CNZUU,http://www.worldportsource.com/ports/CHN_Port_of_Zhuzhou_2541.php
Port of Tarrafal,"15° 16' 53"" N","23° 44' 49"" W","Pier, Jetty or Wharf",Very Small,CVTAR,http://www.worldportsource.com/ports/CPV_Port_of_Tarrafal_2189.php
Port of Sal Rei,"16° 10' 42"" N","22° 55' 21"" W","Pier, Jetty or Wharf",Very Small,CVSAR,http://www.worldportsource.com/ports/CPV_Port_of_Sal_Rei_2191.php
Port of Huangshi,"30° 13' 38"" N","115° 4' 48"" E",River Port,Small,CNHSI,http://www.worldportsource.com/ports/CHN_Port_of_Huangshi_2450.php
Port Sihanoukville,"10° 39' 13"" N","103° 30' 44"" E",Harbor,Small,,http://www.worldportsource.com/ports/KHM_Port_Sihanoukville_303.php
Port of Phnom Penh *,"11° 34' 59"" N","104° 55' 24"" E",River Port,Medium,KHPNH,http://www.worldportsource.com/ports/KHM_Port_of_Phnom_Penh_1598.php
Port of Zhuhai,"22° 14' 23"" N","113° 35' 5"" E",Seaport,Small,CNZUH,http://www.worldportsource.com/ports/CHN_Port_of_Zhuhai_2540.php
Fraser River Port *,"49° 11' 12"" N","122° 55' 12"" W",River Port,Medium,CAFRR,http://www.worldportsource.com/ports/CAN_Fraser_River_Port_194.php
Port Windsor,"42° 16' 52"" N","83° 5' 44"" W",River Port,Small,CAWND,http://www.worldportsource.com/ports/CAN_Port_Windsor_128.php
